ID,VideoType,Text,Likes 
1,review,"I might be prejudiced but I don’t think the Suno crowd has the patience to watch a 1,5h video",432
2,review,Suno is more like a video game if you had a button that instantly beat the game for you. Which defeats the purpose of the game,2417
3,review,"Music is already a videogame, it's just that the controls are very hard and you spend your whole life uncovering new combos",7117
4,review,Saying that making just 50 songs a year is a lull is literally insane,2088
5,review,"The weirdest thing about all of this to me is how much people underestimate what our brains are actually doing. They hear ""The model is taking all the music and then remixing it"" and ask ""how is that different from what we do?"" and I don't even know how to respond to that. We experience the world through emotions. When something inspires us to create it isn't often as simple as ""I like that chord progression, I will use it"" it's something much more complicated. Songs connect with us, our memories, our experiences, and it inspires us to express that feeling. All of that is so far beyond our own understanding LET ALONE something we can artificially replicate.
It is interesting to see technology bump up against philosophy though. I've never had to think so much about what a work of art being ""Soulless"" really means.",170
6,review,"Favorite line of yours “If Suno’s website goes down, the people are powerless.” Just an astounding video, Adam. You should be proud. Thanks for letting me be a part of it",975
7,tutorial,Using the free version. You get 50 credits a day that allows you to make 10 songs or 10 beats but the only thing is it gives you two songs when you make one. It gives you two different options two different styles to pick from cuz it's not sure exactly what you're wanting. You can only record up to a minute on the free version. But if you want more songs in able to record more than a minute you need to pay the $10 a month for the pro version which gives you up to 500 songs a month. If you want to use their studio you get to pay the premiere and then you get access to  suno  studios. So when you record a whole song it'll pick up how you sing your cadence your flow and some of your runs that you do but it gives you an AI voice It's not exactly yours The only way to put yours on there is to use studio and then turn everything into stems or take the song put it into your regular DAW and break it down to the stems take the voice out and put yours in it record it like you do normally. There's some other ways you can probably do it but suno from what I'm understanding is won't let you use your own voice but there's some other apps out there that will clone your voice pretty much matches it but you can still use the beats from here. It's pretty cool either way..,26
8,tutorial,I've been using Suno for a week and I can't stop making songs! It's priced super cheap for the level of entertainment you get out of it.,63
9,tutorial,"Guys idk if it's wrong or something, but the songs that I heard from it from one of the creators is just fire, like actually. I like that you can make funny lyrics",0
10,tutorial,Wow i cant believe that the most beautiful parts of human creativity are being outsourced to slop ai!,0
11,tutorial,I’m having difficulties with Suno creating a 3-minute instrumental.,0
12,tutorial,"I’m really new to posting my own Suno tracks, and this tutorial helped a ton. It’s awesome seeing people stay positive about using Suno, makes me excited to keep creating.",13
13,tutorial,"Seriously loved your tutorial. I have have Suno for a few months and have just loved what it created for me, but now that I'm looking at the studio, I want to learn all that it can actually do. You rock!",1
14,tutorial,I am subscribed with suno pro v5 and I do not see the instrumental show on screen when I created song and need only instrument. Can any one help?,0
15,tutorial,The sad ai song is a straight banger,151
16,tutorial,"As a musician, I must say this hurts.",567
17,tutorial,So worth it to subscribe to Suno for any musicians/producers. For literally for a hundred bucks a year you can use these tools,93
18,tutorial,"years and years of studying an instrument, music, so that someone who never held any instrument writes a prompt and say ""Hey! I'm a musician! I made a song!""",37
19,tutorial,Suno v5 + Studio is having me rethink what I want to do with the rest of my life LOL,459
20,tutorial,"Would be amazing if you guys could build a workflow that goes MIDI → audio stems → master, instead of master → audio → MIDI. This way users could get precise MIDI performances and flexible stems, which would win every producer’s heart",253
21,tutorial,"I have been waiting for Suno all of my adult life (and I am now 76) to help turn my lyrics into full songs. This Studio addition is the cherry on top. Great job, guys. I can't wait to get into it.",462
22,tutorial,"What would be really helpful is true vocal stem extraction; this ability to separate harmony, chorus, or backing vocals into individual elements. Additionally, Dry and Wet options on affected material, for further editing or mixing.",101
23,official,"I got your future plans and I think you guys already got the assignment covered., but just to make sure: Know that Suno Studio isn't complete until you can record your voice on the timeline and in itself, generate single instruments like that brass you were trying to do. This will skip the whole process of having to generate another song and extracting stems of it just to use a single instrument and, this will not only make things a lot more fluid, but it will unlock another whole way to make music on Suno. Please make it happen.",185
24,official,"First of all, I should mention that I purchased the full plan, with all features unlocked. The first issue is that it doesn’t give you access to the musical score, which is essential for a trained musician.",4
25,official,I would like the ability to convert an Audio stem to MIDI then export it to an external instrument then bring the audio of that instrument back into the project in perfect sync with the original track.,80
26,official,"I build software for a living and I know greatness when I see it. You guys are at that special place in the product lifecycle where you can build magic with very little red tape. Similar to what Figma was doing from 2017-2023. You've got the vision, money, the top-tier expertise, you're young and hungry and unburdened by the past, AND this is the right time to build a product like Suno. This is a great phase of the company you're in. Enjoy it, in terms of software work, you're probably going to look back on this period of time and think ""this was the best time of my career in tech"" :) Can't wait to see what else you cook up. I love discovering companies like yours. I hope you manage to keep the corporate interests out for as long as possible",14
27,official,"Suno has given me a second lease on life, and I love poetry, and since people have stopped reading, I'm bringing my poetry to people's ears. What I'd like to see is for SUNO to one day also have the ability to generate or create sound effects. This would even allow SUNO to develop musical theater works. Greetings from Mexico. I'm using SUNO in Spanish, and it's incredible.",23
28,official,This is the TOOL I was wanting.  Thank You SUNO.,32
29,official,"Control over scales and modes is what I'm looking for! 'Write this section in E lydian' for example. Or, 'use I IV V chord progression' etc.",43
30,official,Michael Jackson would've loved this. He used to sing the parts of his songs and had musicians interpret his vocals. Can't wait to start Studio. Excellent work. I've been with you since Chirp and Bark.,34
31,official,"As a (primarily) jazz arranger and longtime Suno user, my head is spinning with possibilities.  Love, love, love it!",14
32,official,I use Suno daily. It would be great to use more than one vocal persona in tracks to create better duets that sound on point.🎉,11
33,official,"Dear Suno Studio Development Team,

I am writing to express my sincere gratitude for the recent update and the new feature. It's a fantastic addition that addresses a real need for the community. The implementation is excellent, and it's clear that you are actively listening to user feedback and continuously improving the product. Thank you for your hard work and dedication!

I would also like to take this opportunity to add my voice to a feature request I believe many users are hoping for: full iPadOS support.

We believe in your vision and hope to see this possibility in a future update.",11
34,official,Am a huge fan of SUNO from Taiwan. I’ve created over 70 Chinse love ballad songs so far — all carefully fine-tuned and remastered — and I just want to express my sincere gratitude to the team. You’ve done an incredible job. Please keep up the amazing work.🎉🎉,11
35,official,"I fed Suno my lyrics and spent two minutes configuring it, and it created a song that resembled 90% of what was in my head in less than three minutes. Took some tweaking in GarageBand to dial it in, but the whole thing happened in less than three hours. Idk what this technology is going to do to music as an industry or as a culture, but it gives the power to bring inner feelings to life to basically everybody. I fail to see that as anything less than a HUGE victory. Thank you all for your hard work.",1
36,official,It absolute awesome guys BUT option what i need is OFF all the effects to mixing it by myself - i know it mostly not possible and you choose midi export but hope still in my heart,30
37,official,I love suno. I never have to spend $5k on average for a producer and I can just do it myself on Suno. Music is no longer gate kept bc of money. Thank you,3
38,official,Incredible what you guys have built!,8
39,official,"Please guys, make it possible to download the files in bulk so that we can fix the phase problems, the burnt treble (potatoes frying in a pan), the broken harmonics, and the shimmer. Thanks, I love you!",16
40,official,As a lyricist have been using Suno to make original music videos with slideshow art and diverse soundtracks with great results. All the power of Disney and Universal and no band hassles. Doing as hobby not as business plan as YT impressions is the real challenge. Have 2 small channels and will consider colabs with talented creators. Don't forget to have fun...,1
